"Time","yolo-server-6b58946cb4-5922k / default / PKG","yolo-server-99847bd7d-pfn7h / default / PKG","yolo-server-6b58946cb4-5922k / default / DRAM","yolo-server-99847bd7d-pfn7h / default / DRAM","yolo-server-6b58946cb4-5922k / default / OTHER","yolo-server-99847bd7d-pfn7h / default / OTHER","yolo-server-6b58946cb4-5922k / default / GPU","yolo-server-99847bd7d-pfn7h / default / GPU"
2024-08-07 21:00:50,,9.85,,0,,0,,0
2024-08-07 21:01:00,,9.85,,0,,0,,0
2024-08-07 21:01:10,,10.2,,0,,0,,0
2024-08-07 21:01:20,,10.2,,0,,0,,0
2024-08-07 21:01:30,,10.2,,0,,0,,0
2024-08-07 21:01:40,,9.67,,0,,0,,0
2024-08-07 21:01:50,,9.67,,0,,0,,0
2024-08-07 21:02:00,,9.67,,0,,0,,0
2024-08-07 21:02:10,,9.44,,0,,0,,0
2024-08-07 21:02:20,,9.44,,0,,0,,0
2024-08-07 21:02:30,,9.44,,0,,0,,0
2024-08-07 21:02:40,,9.42,,0,,0,,0
2024-08-07 21:02:50,,9.42,,0,,0,,0
2024-08-07 21:03:00,,9.42,,0,,0,,0
2024-08-07 21:03:10,,10.3,,0,,0,,0
2024-08-07 21:03:20,,10.3,,0,,0,,0
2024-08-07 21:03:30,,10.3,,0,,0,,0
2024-08-07 21:03:40,,9.71,,0,,0,,0
2024-08-07 21:03:50,,9.71,,0,,0,,0
2024-08-07 21:04:00,,9.71,,0,,0,,0
2024-08-07 21:04:10,,9.94,,0,,0,,0
2024-08-07 21:04:20,,9.94,,0,,0,,0
2024-08-07 21:04:30,,9.94,,0,,0,,0
2024-08-07 21:04:40,,9.32,,0,,0,,0
2024-08-07 21:04:50,,9.32,,0,,0,,0
2024-08-07 21:05:00,,9.32,,0,,0,,0
2024-08-07 21:05:10,,9.79,,0,,0,,0
2024-08-07 21:05:20,,9.79,,0,,0,,0
2024-08-07 21:05:30,,9.79,,0,,0,,0
2024-08-07 21:05:40,,6.35,,0,,0,,0
